developer,game_count,avg_positive_ratio,total_owners,best_game,total_owners_M
Ballistic Frogs,1,86.0,150000.0,8417,0.15
Ballistic Interactive,1,68.5,350000.0,4063,0.35
Ballistic Moon,1,80.0,75000.0,9528,0.08
Bambuseae Games,1,78.0,150000.0,9244,0.15
BambuseaeGames,1,78.5,75000.0,9566,0.08
BancyCo,1,66.9,150000.0,5783,0.15
Bandai Namco Forge Digitals Inc.,1,86.6,750000.0,2344,0.75
Bandai Namco Studios,1,84.3,3500000.0,627,3.5
Bandai Namco Studios Inc.,3,76.3,8500000.0,476,8.5
Bane Games,1,83.3,150000.0,8447,0.15
Bankroll Studios,1,76.0,750000.0,1660,0.75
Bar Holographic Otaku,1,97.0,150000.0,9304,0.15
"Barbedwire Studios, Digitalmindsoft",1,83.3,1500000.0,1378,1.5
Bare Mettle Entertainment,1,82.1,750000.0,1996,0.75
Bark Bark Games,1,96.3,150000.0,8683,0.15
Barnes,1,60.8,150000.0,5951,0.15
Baroque Decay,2,94.2,900000.0,2166,0.9
Barrel Roll Games,1,88.9,1500000.0,1341,1.5
Basaltic studio,1,66.4,350000.0,2956,0.35
"Bashir ""ManliestDev"" Kashalo",1,79.3,150000.0,9242,0.15
Basically Games,1,97.7,750000.0,2542,0.75
Basilisk Games,1,86.6,75000.0,9776,0.08
"Bat Country Games, LLC",1,78.9,1500000.0,776,1.5
Batterystaple Games,1,91.0,150000.0,8332,0.15
"Batterystaple Games, Fire Hose Games",1,91.4,350000.0,3134,0.35
BattleBrew Productions,1,77.3,150000.0,6382,0.15
BattleGoat Studios,2,70.7,225000.0,6941,0.22
Battlecruiser Games,1,83.1,350000.0,5332,0.35
Bay 12 Games,1,94.9,3500000.0,590,3.5
Bazitov Mikhail,1,66.6,150000.0,7731,0.15
Bazooka Tango,1,72.2,350000.0,4141,0.35
BeHappy Studios,1,48.5,750000.0,1632,0.75
Beam Team Games,1,74.4,1500000.0,1026,1.5
BeamNG,1,97.4,7500000.0,115,7.5
Beamdog,6,89.5,4800000.0,707,4.8
Bear & Cat Studio,1,90.0,150000.0,6888,0.15
BearBoneStudio,1,96.2,350000.0,3433,0.35
Beast Games,1,85.0,75000.0,9788,0.08
Beat Games,1,95.6,3500000.0,273,3.5
"Beau Blyth, Evan Hemsley, Nelson Boles, Doseone, Adam Robezzoli, Valentin Seiche",1,94.1,150000.0,7328,0.15
BeautiFun Games,1,88.4,150000.0,5784,0.15
Beautiful Glitch,4,96.7,1325000.0,1682,1.32
Beawesome Games,1,66.2,750000.0,1811,0.75
Bedlam Games,1,30.2,75000.0,9881,0.08
Bedtime Digital Games,3,85.2,4400000.0,515,4.4
Beenox,1,90.5,150000.0,6834,0.15
Beethoven and Dinosaur,1,92.4,150000.0,8786,0.15
Beetlewing,1,92.9,350000.0,2971,0.35
Befun Studio,1,83.2,150000.0,6894,0.15
Behaviour Interactive Inc.,4,69.4,36250000.0,38,36.25
Behold Studios,3,85.1,1050000.0,3364,1.05
"Beijing AmazGame Age Internet Technology Co., Ltd.",1,68.9,150000.0,7962,0.15
"Beijing Litchi Culture Media Co., Ltd.",2,85.0,700000.0,4314,0.7
"Beijing Pixel Software Technology Joint-Stock Co.,Ltd.",1,65.8,150000.0,8551,0.15
Bekho Team,2,81.7,300000.0,5997,0.3
Ben Esposito,1,91.8,350000.0,3337,0.35
Ben Nichols,1,93.4,150000.0,7015,0.15
Ben Otter,1,91.1,1500000.0,1441,1.5
Ben Reber,1,92.9,350000.0,3668,0.35
BenStar,1,82.4,350000.0,4681,0.35
Bend Studio,1,92.8,3500000.0,312,3.5
"Benjamin ""ThingOnItsOwn"" Hauer",1,79.8,750000.0,1802,0.75
Benjamin Staugaard,1,81.6,75000.0,9616,0.08
Bennett Foddy,1,82.4,3500000.0,383,3.5
Berezka,1,70.8,350000.0,4074,0.35
Bermuda Computer Club,1,54.9,350000.0,3228,0.35
Bernt Andreas Eide,1,60.6,350000.0,3970,0.35
Berserk Games,1,94.4,3500000.0,258,3.5
Berzerk Studio,3,91.9,2000000.0,1271,2.0
Besedka Games Studio,1,75.0,150000.0,8753,0.15
Best Way,3,79.2,650000.0,5197,0.65
"Best Way, Digitalmindsoft",1,90.1,750000.0,2595,0.75
BetaDwarf,2,81.8,1100000.0,1487,1.1
Betagames Group,1,74.7,350000.0,4937,0.35
Bethesda Game Studios,12,81.4,52000000.0,90,52.0
"Bethesda Game Studios, Virtuos",1,80.5,3500000.0,248,3.5
Bethesda Game Studios®,1,95.4,3500000.0,605,3.5
Bevan McKechnie,1,97.0,350000.0,4578,0.35
"Beyond-Limits-Games, FCG",1,83.4,150000.0,7021,0.15
Bezbro Games,1,82.3,750000.0,2041,0.75
Biart Company LLC,1,74.0,350000.0,5103,0.35
Big Ant Studios,3,80.1,450000.0,6543,0.45
Big Bad Wolf,1,83.7,350000.0,4427,0.35
"Big Bang Studio, Swaps4 Productions",1,81.3,350000.0,4017,0.35
Big Blue Bubble,2,87.8,1650000.0,1258,1.65
Big Boat Interactive,1,89.9,150000.0,7603,0.15
Big Cheese Studio,2,83.4,900000.0,1702,0.9
Big Corporation,1,95.3,1500000.0,1387,1.5
"Big Cube Interactive, LLC",1,82.1,75000.0,9734,0.08
Big Fat Alien,1,84.9,750000.0,2410,0.75
Big Finish Games,1,87.1,350000.0,3378,0.35
"Big Huge Games, 38 Studios",1,88.0,1500000.0,856,1.5
Big Loop Studios,1,92.8,350000.0,5567,0.35
Big OOF Games PTY LTD,1,73.4,350000.0,4107,0.35
Big Play Games,1,81.5,150000.0,8120,0.15
Big Red Eight,1,56.7,150000.0,8046,0.15
Big Robot Ltd,1,77.7,750000.0,2033,0.75
"Big Sandwich Games, Stratecade LLC",1,80.9,350000.0,5122,0.35
Big Z Studios Inc.,1,97.5,150000.0,7305,0.15
"BigBox VR, Inc.",1,82.8,750000.0,2476,0.75
"BigLight.Games, Xbgzs",1,90.9,150000.0,7439,0.15
Bigbug Studio,1,43.4,150000.0,6689,0.15
Bigmoon Entertainment,2,60.4,425000.0,4955,0.42
Bigosaur,1,88.8,150000.0,5888,0.15
"Bigscreen, Inc.",1,85.1,750000.0,1797,0.75
Billy Basso,1,96.0,350000.0,2876,0.35
"Bimboosoft Co.,Ltd.",1,67.3,350000.0,4177,0.35
Binary Fortress Software,1,85.5,150000.0,8863,0.15
Binary Zoo,1,92.2,150000.0,6469,0.15
Bingo Studio,1,78.4,75000.0,9634,0.08
Binogure Studio,1,89.1,350000.0,4215,0.35
BioWare,11,82.5,15100000.0,511,15.1
BioWare Corporation,1,79.5,75000.0,9447,0.08
"BioWare, Aspyr (Mac)",1,91.1,3500000.0,656,3.5
Biotech Gameworks,1,85.9,350000.0,4592,0.35
Bippinbits,1,92.2,3500000.0,588,3.5
Bird Bath Games,1,92.2,350000.0,2714,0.35
Bird in Sky,1,93.9,150000.0,7610,0.15
Bird's Eye Games,1,87.5,150000.0,6484,0.15
BisquitPlay,1,35.5,150000.0,7269,0.15
"Bit Blot, LLC",1,88.0,350000.0,5416,0.35
"Bit Kid, Inc.",1,72.8,350000.0,5439,0.35
BitCake Studio,1,78.5,350000.0,3962,0.35
"BitMonster, Inc.",2,66.4,900000.0,2605,0.9
Bitbeast Games,1,81.6,1500000.0,1003,1.5
Bitbox Ltd.,1,65.9,350000.0,5292,0.35
Bitfall Studios,1,89.7,350000.0,5154,0.35
Bithell Games,5,85.8,1475000.0,2051,1.48
"Bitmap Brothers, Vivid Games",1,66.5,350000.0,5638,0.35
Bitrich.info,1,89.9,350000.0,5649,0.35
Bizarre Creations,1,90.6,150000.0,5718,0.15
Black Element,1,55.2,350000.0,3875,0.35
Black Eye Games,2,73.4,700000.0,2871,0.7
"Black Eye Games, FishTankStudio",1,87.2,350000.0,2962,0.35
Black Flag Studios,1,67.5,350000.0,5239,0.35
Black Forest Games,4,76.5,1000000.0,3557,1.0
"Black Forest Games, Pandemic Studios",1,92.4,1500000.0,1417,1.5
Black Isle Studios,1,94.3,1500000.0,1061,1.5
Black Lab Games,1,84.0,350000.0,5391,0.35
Black Lime Studio,6,60.7,1300000.0,3566,1.3
Black Pants Studio,1,91.6,750000.0,2368,0.75
Black Potion,1,59.0,150000.0,7700,0.15
Black Rock Studio,1,81.5,350000.0,5174,0.35
Black Salt Games,1,95.8,1500000.0,898,1.5
Black Sea Games,1,76.8,150000.0,6171,0.15
Black Sea Studios Ltd,1,92.6,350000.0,5019,0.35
Black Shell Games,2,72.8,425000.0,4885,0.42
Black Shell Media,1,91.5,150000.0,5734,0.15
Black Tabby Games,2,97.0,1100000.0,1563,1.1
BlackFoot Studios,1,89.3,1500000.0,1069,1.5
BlackLight,1,88.6,350000.0,3787,0.35
BlackMark Studio,2,75.3,300000.0,6961,0.3
BlackMill Games,2,84.4,1850000.0,701,1.85
BlackMoon Design,1,52.1,75000.0,9466,0.08
BlackRobe,2,91.0,900000.0,2518,0.9
BlackSpot Entertainment,1,59.7,3500000.0,622,3.5
Blackbird Interactive,5,68.7,3500000.0,1161,3.5
Blackfire,1,84.5,350000.0,5151,0.35
Blackhole,1,47.6,750000.0,1665,0.75
Blackjard Softworks,1,75.2,75000.0,9838,0.08
"Blacklight Interactive, Team17",1,88.1,3500000.0,469,3.5
Blackpowder Games,1,81.3,350000.0,3537,0.35
Blagovest Penev,1,80.8,150000.0,9104,0.15
Blam! Games LLC,1,63.6,150000.0,6833,0.15
BlankMediaGames,2,74.6,1850000.0,870,1.85
BlankMediaGames LLC,1,73.1,750000.0,1982,0.75
Blazing Bit Games,1,93.7,350000.0,3137,0.35
Blazing Fanfish,1,58.6,750000.0,2520,0.75
Blazing Griffin,2,70.1,1650000.0,733,1.65
Blazing Planet Studio,1,89.4,150000.0,7935,0.15
Bleakmill,1,71.1,750000.0,2670,0.75
Blender Foundation,1,96.3,7500000.0,154,7.5
Blender Games,2,84.1,500000.0,5290,0.5
Blendo Games,4,82.0,1200000.0,3247,1.2
Blind Bird,1,61.8,150000.0,6804,0.15
Blind Mind Studios,1,82.4,150000.0,6638,0.15
"Blind Mind Studios, Glacicle",1,81.5,350000.0,4624,0.35
Blind Sky Studios,1,95.0,350000.0,3220,0.35
Blind Squirrel Entertainment,1,67.4,150000.0,6085,0.15
Blindfold,1,73.8,150000.0,8209,0.15
Bling Bling Games GmbH,1,47.3,150000.0,6385,0.15
Blingame,1,90.2,150000.0,7931,0.15
BlinkWorks Media,1,92.3,350000.0,4207,0.35
Blit Software,2,88.5,2250000.0,1215,2.25
"Blizzard Entertainment, Inc.",1,65.5,1500000.0,832,1.5
Blobfish,1,96.7,3500000.0,401,3.5
Bloober Team,1,88.9,750000.0,2491,0.75
Bloober Team SA,5,82.6,5700000.0,382,5.7
"Bloober Team, Anshar Studios",1,86.5,350000.0,2710,0.35
Bloodirony,1,82.1,75000.0,9742,0.08
Blowfish Studios,1,66.3,350000.0,3894,0.35
Blue Bottle Games,2,84.4,900000.0,2011,0.9
Blue Brain Games,2,89.6,500000.0,2975,0.5
Blue Byte,4,48.8,2550000.0,1253,2.55
"Blue Byte, Related Designs",2,75.2,900000.0,1634,0.9
Blue Isle Studios,4,76.5,1000000.0,2918,1.0
Blue Mammoth Games,1,81.5,35000000.0,21,35.0
Blue Manchu,1,86.0,350000.0,2914,0.35
Blue Meridian,1,87.0,350000.0,3833,0.35
Blue Omega Entertainment,1,46.5,150000.0,8896,0.15
Blue Studio,1,84.4,350000.0,4298,0.35
Blue Wizard Digital,3,91.1,1450000.0,1832,1.45
BlueEagle Productions,1,73.5,350000.0,2759,0.35
BlueLine Games,3,82.1,1050000.0,1841,1.05
BlueTwelve Studio,1,97.3,7500000.0,219,7.5
Bluebutton Games,1,79.3,750000.0,1959,0.75
"Bluehole Studio, Inc.",1,54.1,750000.0,1537,0.75
"Bluehole, Inc.",1,78.3,1500000.0,1067,1.5
"Blueteak, The Engine Company, Shapes and Lines, Arcturus Interactive, The Quantum Astrophysicists Guild",1,92.6,350000.0,5226,0.35
BoRoBoRoGame,1,71.6,150000.0,8741,0.15
Bob,2,83.5,500000.0,2873,0.5
BogoSoft,1,94.0,150000.0,6957,0.15
Bohemia Interactive,17,69.2,45050000.0,82,45.05
Bohemian Pulp,1,76.0,150000.0,9196,0.15
Bold Spirit Game Studio,1,89.5,150000.0,5879,0.15
Bolingogames,1,87.3,150000.0,6444,0.15
Bolt Blaster Games,1,85.5,350000.0,3285,0.35
Bombservice,3,89.0,575000.0,3553,0.57
Bone Nail,1,94.5,350000.0,2796,0.35
"Boneloaf, Rocket Science",1,85.1,3500000.0,331,3.5
Boogygames Studios,1,57.5,150000.0,6700,0.15
Booming Tech,1,74.9,3500000.0,399,3.5
Bootsnake Games,1,78.5,75000.0,9836,0.08
Borealys Games,1,86.4,150000.0,7876,0.15
Born Ready Games,1,82.4,350000.0,5204,0.35
Born Ready Games Ltd.,2,79.6,1100000.0,2395,1.1
Borne Games,1,92.7,150000.0,8163,0.15
Boss Baddie,1,75.1,350000.0,3192,0.35
Boss Key Productions,1,62.0,1500000.0,791,1.5
Bossa Studios,8,72.9,3075000.0,778,3.08
BottleCube inc.,1,89.4,150000.0,8424,0.15
Bouncyrock Entertainment,1,91.2,350000.0,4724,0.35
Bounding Box Software Inc.,1,92.9,350000.0,3919,0.35
"Boundless Dynamics, LLC",1,98.1,750000.0,1782,0.75
Bowlcut Studios,1,93.7,150000.0,7549,0.15
Boxelware,1,90.2,750000.0,1762,0.75
Boxhead Bros.,1,71.4,150000.0,8244,0.15
Brace Yourself Games,3,78.5,2000000.0,766,2.0
Brain Seal Ltd,2,83.4,300000.0,8993,0.3
Brainseed Factory,1,86.0,150000.0,8304,0.15
Brainwash Gang,2,87.9,500000.0,4103,0.5
Brandon Brizzi,1,78.9,150000.0,7799,0.15
Brandon Moore,1,77.6,150000.0,8810,0.15
Brave At Night,1,87.3,750000.0,2245,0.75
Brave Giant LTD,1,63.9,75000.0,9767,0.08
Brave Lamb Studio S.A.,1,59.8,150000.0,7861,0.15
Brave Little Studios,1,37.8,350000.0,4029,0.35
Brave Rabbit Games,1,91.4,150000.0,6140,0.15
BraveWolf,1,66.4,350000.0,5165,0.35
Brawsome,1,88.1,150000.0,8581,0.15
Bread On Board,1,98.3,150000.0,8062,0.15
Breaker Games,1,73.1,350000.0,2698,0.35
Breakfirst Games,1,73.5,150000.0,9205,0.15
BrickCream,1,81.2,150000.0,8230,0.15
Briganti,1,95.2,150000.0,8222,0.15
Brightrock Games,1,85.9,750000.0,2112,0.75
Brilliant Game Studios,2,80.3,1100000.0,2032,1.1
Brilliant Skies Ltd.,1,89.0,350000.0,2845,0.35
Broadsword,1,89.6,7500000.0,153,7.5
Broken Arms Games,1,77.4,150000.0,6728,0.15
Broken Arrow Games,1,90.5,150000.0,6896,0.15
Broken Bear Games,1,71.6,75000.0,9878,0.08
Broken Circle Studios,1,69.9,750000.0,1542,0.75
Broken Clock,1,72.4,150000.0,8965,0.15
Broken Games,1,82.4,350000.0,3616,0.35
Broken Rules,3,72.3,850000.0,3445,0.85
Bros Before Giraffes,1,96.0,350000.0,3947,0.35
Browny Application,1,31.0,150000.0,6937,0.15
Brudingo Broductions,1,94.2,150000.0,8862,0.15
Bs1 & Bslteam,1,44.8,150000.0,6926,0.15
Bu Yi Ltd.,1,71.3,750000.0,2660,0.75
Bubble,1,74.4,75000.0,9439,0.08
Bubby Darkstar,1,80.6,150000.0,8363,0.15
Buckethead Entertainment,1,86.8,350000.0,4397,0.35
Bucketplay Inc.,1,75.9,150000.0,6597,0.15
Buckshot Software,1,87.1,350000.0,3361,0.35
Buffalo Vision,1,85.4,150000.0,8055,0.15
Bug Inventors,1,88.4,75000.0,9674,0.08
Bugbear,1,88.1,1500000.0,718,1.5
"Bugbear Entertainment, ZOOM Platform Media, Jordan Freeman Group",3,92.6,1650000.0,1461,1.65
Bugbyte Ltd.,2,82.8,700000.0,2811,0.7
Buka Development,1,92.8,150000.0,7963,0.15
Bulbware,1,88.2,150000.0,6071,0.15
Bulldog Interactive,1,90.0,150000.0,6280,0.15
Bullfrog Productions,3,92.4,650000.0,4664,0.65
Bulut ULU,1,43.2,150000.0,8164,0.15
Bulwark Studios,3,81.1,2325000.0,1433,2.33
BumpkinBrothers,2,79.2,500000.0,3898,0.5
Bungie,1,79.6,35000000.0,23,35.0
Burak Dabak,1,79.0,350000.0,3727,0.35
Bureau 81,1,92.8,750000.0,1830,0.75
Burian Media Enterprises,1,33.2,350000.0,2733,0.35
Buried Signal,1,97.6,350000.0,3127,0.35
Burst2Flame Entertainment,1,85.2,350000.0,3152,0.35
Burut CT,1,76.4,150000.0,8875,0.15
Business Goose Studios,1,98.1,350000.0,4188,0.35
Butterscotch Shenanigans,3,91.1,775000.0,2998,0.78
By Aliens L.L.C-FZ,1,58.3,350000.0,3416,0.35
Byking Inc.,2,67.8,225000.0,8739,0.22
Byte Barrel,1,84.6,750000.0,2613,0.75
Bytebin,1,60.7,350000.0,3774,0.35
Byterunners,2,65.3,1850000.0,1054,1.85
Byterunners Game Studio,1,87.3,350000.0,2794,0.35
Bytro Labs GmbH,2,73.1,1100000.0,1770,1.1
Byzantine Games,1,83.0,150000.0,6763,0.15
C Prompt Games,1,68.9,150000.0,6519,0.15
CABO Studio,1,85.6,750000.0,1989,0.75
CAPCOM,1,31.2,150000.0,6498,0.15
"CAPCOM CO., LTD",4,82.9,1525000.0,2457,1.52
"CAPCOM CO., LTD.",4,80.8,1600000.0,2497,1.6
"CAPCOM Co., Ltd.",40,83.5,123775000.0,13,123.78
"CAPCOM Co., Ltd., NeoBards Entertainment Ltd.",1,38.1,750000.0,2687,0.75
CBE software,1,86.0,150000.0,5922,0.15
CBGames,1,89.1,350000.0,5459,0.35
CC ARTS,1,94.4,350000.0,5570,0.35
CCP,1,73.7,3500000.0,284,3.5
CD PROJEKT RED,7,83.3,79600000.0,37,79.6
"CD PROJEKT RED, Can Explode",1,76.1,150000.0,5950,0.15
"CFK Co., Ltd.",1,93.4,150000.0,5778,0.15
CGE Digital,1,91.0,350000.0,4791,0.35
"CHENGDU DREAMCALLER TECHNOLOGY CO.,LTD",1,58.4,150000.0,9352,0.15
CHEST BOX,1,59.4,150000.0,7711,0.15
CI Games,7,64.9,6700000.0,1040,6.7
"CI Games, Deck 13",1,59.1,750000.0,2098,0.75
CINEMAX GAMES,1,69.0,350000.0,5331,0.35
CINIC Games,1,80.8,150000.0,9202,0.15
CM IMMERSIVE,2,86.8,900000.0,2081,0.9
CMGE,1,47.6,350000.0,4360,0.35
"COMPILE HEART, IDEA FACTORY",1,70.0,75000.0,9539,0.08
CP Decision,1,81.1,150000.0,6847,0.15
"CRAFTS & MEISTER Co., Ltd.",2,59.0,500000.0,3642,0.5
CRASS Studios,1,37.3,350000.0,3208,0.35
"CRAZYDIAMOND CO., LTD.",1,75.3,350000.0,3060,0.35
CREATIVE ASSEMBLY,6,75.2,6600000.0,555,6.6
"CREATIVE ASSEMBLY, Feral Interactive",2,78.1,7000000.0,315,7.0
"CREATIVE ASSEMBLY, Feral Interactive (Linux), Feral Interactive (Mac)",1,78.0,1500000.0,693,1.5
"CREATIVE ASSEMBLY, Feral Interactive (Mac)",2,81.6,1850000.0,750,1.85
"CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)",7,86.2,25750000.0,163,25.75
CSR-Studios,1,87.1,150000.0,6618,0.15
Cabbit,1,87.2,75000.0,9424,0.08
Cadence Games,1,52.2,150000.0,8959,0.15
Caged Element Inc.,2,82.4,500000.0,3893,0.5
CakeEaterGames,1,86.8,350000.0,3054,0.35
Calappa Games,1,94.9,350000.0,4772,0.35
Calepin Studio,1,68.8,150000.0,8736,0.15
"Callback, ln404",1,93.0,150000.0,6923,0.15
Calvares,1,84.9,150000.0,7573,0.15
Camagames,1,38.3,350000.0,5652,0.35
Camel 101,1,67.6,150000.0,7191,0.15
Camex Games,2,75.6,900000.0,2416,0.9
Camouflaj,1,77.4,150000.0,7820,0.15
CampFire Studio,1,80.6,350000.0,2842,0.35
Campfire Games,1,88.4,750000.0,1907,0.75
Campfire Studio,1,90.2,350000.0,4643,0.35
Campo Santo,1,90.4,3500000.0,521,3.5
Camshaft Software Ltd,1,93.4,750000.0,2301,0.75
Candymakers,1,81.5,150000.0,8518,0.15
Cantaloupe Kids,1,80.6,75000.0,9988,0.08
Capcom,13,80.8,16900000.0,418,16.9
Capcom Game Studio Vancouver,1,76.6,1500000.0,975,1.5
"Capcom Game Studio Vancouver, Inc.",1,56.8,350000.0,3068,0.35
"Capcom U.S.A., Inc.",1,54.5,150000.0,6644,0.15
Capcom Vancouver,2,77.8,1100000.0,2442,1.1
Capriccio,1,90.1,150000.0,6927,0.15
Capricia Productions,1,77.0,150000.0,8538,0.15
Captain Games,1,88.5,150000.0,8198,0.15
Capybara Games,2,87.1,700000.0,3135,0.7
"Capybara, Superbrothers, Jim Guthrie",1,77.4,750000.0,1865,0.75
"CarX Technologies, LLC",2,83.0,3850000.0,484,3.85
Caramel-Mocha Studio,1,76.1,150000.0,8556,0.15
Carbine Studios,1,74.9,1500000.0,1360,1.5
"Carbomb Software, Nova Dimension",1,77.3,750000.0,1775,0.75
Carbon,1,75.4,350000.0,4157,0.35
Carbon Games,1,84.1,1500000.0,669,1.5
Carbon Studio,1,38.0,75000.0,9863,0.08
Cardboard Computer,1,80.5,350000.0,3023,0.35
Caret Games,1,42.8,150000.0,7284,0.15
Carlsen Games,2,88.0,425000.0,5216,0.42
Carmine T. Guida,1,76.9,150000.0,7365,0.15
Carrot Studios,1,67.9,150000.0,6468,0.15
Casey Donnellan Games LLC,2,93.1,300000.0,8927,0.3
Casioqu,1,92.6,750000.0,1949,0.75
Cassel Games,2,87.9,700000.0,3425,0.7
Castle Roaches,1,89.5,75000.0,9690,0.08
"Casualogic, Droid Riot",1,66.3,150000.0,9307,0.15
Cat Play Studio,1,66.3,350000.0,3439,0.35
"Cat Shine, Meow Run",1,84.4,150000.0,8813,0.15
Cat5Games,1,94.1,750000.0,2022,0.75
Cateia Games,2,66.0,500000.0,3274,0.5
Catnip,1,88.4,350000.0,4889,0.35
Catnip Games,1,53.2,350000.0,2884,0.35
Catobyte,1,86.7,750000.0,2519,0.75
Catos Game,1,95.9,350000.0,5684,0.35
Cats Who Play,2,77.9,500000.0,3031,0.5
Cauldron,1,70.3,350000.0,5616,0.35
Causal Bit Games Inc.,1,73.6,75000.0,9654,0.08
"Cavalier Game Studios, Tequila Works",1,92.3,150000.0,6575,0.15
CaveLiquid,1,92.4,350000.0,3289,0.35
Cavedog Entertainment,1,96.5,350000.0,4259,0.35
Caveman Studio,2,78.8,500000.0,3933,0.5
Cavemanon,1,98.5,350000.0,5709,0.35
Caz,1,92.4,75000.0,9559,0.08
Celeris,1,82.9,150000.0,8726,0.15
Cellar Door Games,3,91.4,2200000.0,1177,2.2
Cemil Tasdemir,1,27.5,350000.0,3843,0.35
CenterPoint Gaming,1,93.4,3500000.0,262,3.5
ChAIR Entertainment,1,84.5,150000.0,7205,0.15
Chalcedony Network,1,93.3,1500000.0,1334,1.5
Chance Agency,1,81.1,350000.0,3342,0.35
"Chance6 Studios, LLC",1,80.9,150000.0,8632,0.15
Chandler Rounsley,1,83.3,350000.0,4031,0.35
Changyou.com Limited,1,69.1,750000.0,1608,0.75
Channel 3 Entertainment,1,78.9,350000.0,4859,0.35
Chaos Concept,1,77.3,150000.0,9115,0.15
Chaos Industries,1,62.3,350000.0,4488,0.35
Chaosmonger Studio,1,76.4,150000.0,9094,0.15
Charles Games,1,92.7,75000.0,9536,0.08
Charlie Oscar Lima Tango Interactive Entertainment,1,84.2,750000.0,2060,0.75
Charyb Games,2,55.9,700000.0,3995,0.7
Chasing Carrots,3,72.5,1450000.0,1872,1.45
"Cheap Fun Games, Forthright Indie Team",1,36.0,350000.0,3515,0.35
Checkmaty,1,96.0,150000.0,5759,0.15
Cheerdealers,2,74.4,500000.0,3575,0.5
Cheesecake Dev,6,72.2,1625000.0,2781,1.62
Chernov Vyacheslav,1,68.1,75000.0,9702,0.08
Cherry Pop Games,2,80.8,1100000.0,2403,1.1
"Cherry Pop Games, Perilous Orbit",1,83.1,75000.0,9396,0.08
Cherrymochi,1,84.5,150000.0,8100,0.15
Chewa,1,76.2,150000.0,6596,0.15
Chi Entertainment Corp.,1,92.3,150000.0,5916,0.15
Chibig,1,75.6,350000.0,5623,0.35
Chicken Launcher,2,84.2,300000.0,5793,0.3
Chii the Cat,1,91.3,75000.0,9759,0.08
Chilla's Art,1,83.6,150000.0,8048,0.15
ChillyRoom,1,67.2,350000.0,4905,0.35
Chimera Entertainment,1,80.7,150000.0,5899,0.15
Chimeric,1,95.8,350000.0,4152,0.35
Choice Provisions,2,75.4,1100000.0,2141,1.1
Choice of Games,1,96.1,75000.0,9875,0.08
Chondrite Games,1,69.0,150000.0,7376,0.15
Chongming Studio,1,75.2,750000.0,2474,0.75
Chowbie,2,89.8,500000.0,4308,0.5
"Chris Hecker, John Cimino",1,78.6,350000.0,2806,0.35
Chris McFarland,1,90.7,150000.0,8039,0.15
"Chris Nordgren, Jordi Roca",1,95.3,350000.0,2760,0.35
Chris Sawyer Productions,2,91.9,1500000.0,1987,1.5
"Christian Whitehead, Headcannon, PagodaWest Games",1,93.8,1500000.0,1049,1.5
Chromatic Games,3,78.9,7150000.0,405,7.15
Chronos Unterhaltungssoftware,1,81.1,750000.0,2443,0.75
Chuck Productions,1,46.4,150000.0,6249,0.15
Chucklefish,2,87.7,4250000.0,238,4.25
Chuhai Labs,1,74.1,150000.0,7064,0.15
Cicada Games,1,93.9,75000.0,9459,0.08
Cipher Prime Studios,2,81.3,425000.0,5129,0.42
"Circle Five Studios, Pub Games",1,83.2,750000.0,1609,0.75
Circle Poison,1,71.9,150000.0,8005,0.15
City Interactive,4,73.2,3500000.0,939,3.5
Clapperheads,1,59.1,75000.0,9710,0.08
Clarity Games,1,78.1,150000.0,7777,0.15
Clarus Victoria,4,84.6,800000.0,5266,0.8
Class of  2016-2017,1,51.2,350000.0,5135,0.35
Classic Chocolat,1,97.8,150000.0,8458,0.15
"Claudio Norori, Antonio Vargas",1,71.5,150000.0,7214,0.15
"Claudiu Kiss, The Irregular Corporation",1,93.6,1500000.0,714,1.5
Clever Endeavour Games,1,95.9,1500000.0,664,1.5
Clever Plays,2,86.7,900000.0,2576,0.9
CleverRaven,1,92.5,150000.0,9302,0.15
Cleversan Games,3,75.8,850000.0,5024,0.85
Cleversan Software,1,67.7,150000.0,5907,0.15
Cleverweek,5,64.1,1075000.0,4907,1.08
Clewcat Games,1,81.6,150000.0,7942,0.15
ClickGames,1,86.2,75000.0,9714,0.08
Clickteam,2,82.8,500000.0,4579,0.5
Client/Frontend: Endava  / Backend: SuperNimbus,1,48.7,1500000.0,881,1.5
Cliffhanger Productions,1,50.9,150000.0,5963,0.15
Clifftop Games,2,93.1,7650000.0,119,7.65
"Clifftop Games, Faravid Interactive",1,93.5,350000.0,4852,0.35
Climax Studios,4,71.6,1200000.0,4354,1.2
Climax Studios Ltd.,1,87.0,150000.0,7925,0.15
Cloak and Dagger Games,3,89.4,850000.0,4615,0.85
Clock Wizard Games,2,77.0,1650000.0,913,1.65
ClockStone,4,80.9,1000000.0,2737,1.0
Clockstone,1,43.8,150000.0,7646,0.15
Clockwork Pile,1,94.4,350000.0,4498,0.35
Cloisters Interactive,1,85.6,75000.0,9819,0.08
"Cloudcade, Inc.",1,66.8,750000.0,2067,0.75
Cloudhead Games Ltd.,2,90.4,700000.0,2889,0.7
Clover Bite,1,85.3,350000.0,4407,0.35
Clymenia,1,92.0,350000.0,4697,0.35
Coal Supper,2,96.2,500000.0,4882,0.5
Coatsink,1,82.9,350000.0,5436,0.35
